用户ID,服务ID,时间,行为,内容,转推,喜欢,回复,URL
Nick Craver,Twitter,下午8:09 - 2016年2月22日,喜欢,Scott Hanselman 的 Twitter: “It&#39;s lit. #LEGO https://t.co/tZtLbkWMvL”,0,25,10,https://twitter.com/shanselman/status/701982133607206912
Nick Craver,Twitter,下午3:51 - 2016年5月30日,喜欢,ERSATZ DEVLOPER 的 Twitter: “https://t.co/ptt8vyumZR”,0,2,1,https://twitter.com/jasonpunyon/status/737416120991289345
Nick Craver,Twitter,上午11:57 - 2016年4月15日,喜欢,"Kevin Dente 的 Twitter: “@codinghorror if they want to make it realistic, they should take the bugs from one player and assign them to another player to fix.”",0,2,2,https://twitter.com/kevindente/status/721049922028449792
Nick Craver,Twitter,下午2:58 - 2016年6月14日,喜欢,ERSATZ DEVLOPER 的 Twitter: “@samsaffron @Nick_Craver check your records. I hearted the fuck out of that tweet.”,0,2,1,https://twitter.com/jasonpunyon/status/742838609129005056
Nick Craver,Twitter,下午4:40 - 2016年5月4日,喜欢,"Scott Hanselman 的 Twitter: “Hey friends! We&#39;re doing a virtual .NET Conference and we want YOU to speak! Our call for papers is up, share! https://t.co/vAYRhHa2MW”",0,95,6,https://twitter.com/shanselman/status/728006421049004032
Nick Craver,Twitter,下午5:05 - 2016年2月18日,喜欢,SwiftOnSecurity 的 Twitter: “Just install Linux https://t.co/AsAOfE8mip”,0,271,16,https://twitter.com/swiftonsecurity/status/700486455152418817
Nick Craver,Twitter,下午3:50 - 2016年5月30日,喜欢,ERSATZ DEVLOPER 的 Twitter: “https://t.co/1DN105ITvM”,0,3,1,https://twitter.com/jasonpunyon/status/737416031354785793
Nick Craver,Twitter,上午6:44 - 2016年4月9日,喜欢,"Pandiyan Murugan 的 Twitter: “@Nick_Craver overall heap memory and doc counts + disk speed&#10;&#10;Check whether any nodes down, and also check reallocation status”",0,1,1,https://twitter.com/pandiyan_cool/status/718796639981309953
Nick Craver,Twitter,下午2:29 - 2016年6月14日,喜欢,ERSATZ DEVLOPER 的 Twitter: “@Nick_Craver Holy shit you bought em.”,0,1,2,https://twitter.com/jasonpunyon/status/742831449456316416
Nick Craver,Twitter,上午2:34 - 2016年4月6日,喜欢,Nick Craver 的 Twitter: “Fun data: https://t.co/kHziCRQRSv”,0,1,1,https://twitter.com/nick_craver/status/717646648533499908
Nick Craver,Twitter,下午6:25 - 2016年5月27日,喜欢,ERSATZ DEVLOPER 的 Twitter: “@sassiestone Technically half those are yours.”,0,8,8,https://twitter.com/jasonpunyon/status/736367732464062464
Nick Craver,Twitter,下午3:37 - 2016年2月10日,喜欢,"Phil Scott 的 Twitter: “@TeaDrivenDev @mkristensen @hmemcpy yeah, I bookmarked it last year but never got around to playing with it - https://t.co/h8Ufri603k”",0,1,1,https://twitter.com/philco78/status/697564959979364352
Nick Craver,Twitter,下午6:01 - 2016年4月29日,喜欢,"Jay Hanlon 的 Twitter: “Ten years ago, I married the love of my life. Happy anniversary, baby. (Baby = @plasticsnyc ) https://t.co/xvwlfSgarn”",0,34,6,https://twitter.com/jayhanlon/status/726214921122381824
Nick Craver,Twitter,上午10:57 - 2016年6月12日,喜欢,"SwiftOnSecurity 的 Twitter: “My thoughts are with those impacted by today&#39;s horrific events. I don&#39;t want to take the spotlight, so I&#39;m just trying to be an escape. 😔”",0,202,20,https://twitter.com/swiftonsecurity/status/742053310945853441
Nick Craver,Twitter,下午2:53 - 2016年4月1日,喜欢,Scott Hanselman 的 Twitter: “Heading to the airport. Super tired. My voice is gone. Thanks everyone for a great #build2016”,0,200,26,https://twitter.com/shanselman/status/716020760716836864
Nick Craver,Twitter,下午4:05 - 2016年5月26日,喜欢,Garpini 的 Twitter: “@codinghorror https://t.co/wjsI6kDrWJ”,0,11,2,https://twitter.com/garpini/status/735970246998298624
